c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,ciclo_de_cultivo,nombre_cientifico
66,RISARALDA,66001,PEREIRA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2010,2010,181,110,1771,16.1,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66440,MARSELLA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2010,2010,71,70,209,3.0,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66682,SANTA ROSA DE CABAL,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2010,2010,60,60,846,14.0,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66170,DOS QUEBRADAS,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2010,2010,46,46,1058,23.0,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66045,APIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2010,2010,1,0,0,,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66400,LA VIRGINIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2010,2010,1,1,2,3.8,HOJA FRESCA,PERMANENTE,
76,VALLE DEL CAUCA,76890,YOTOCO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2010,2010,3,2,40,20.0,HOJA FRESCA,PERMANENTE,
19,CAUCA,19130,CAJIBIO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2010,2010A,21,21,328,16.0,HOJA FRESCA,TRANSITORIO,
19,CAUCA,19548,PIENDAMO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2010,2010A,16,16,98,6.12,HOJA FRESCA,TRANSITORIO,
19,CAUCA,19743,SILVIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2010,2010A,6,6,150,25.0,HOJA FRESCA,TRANSITORIO,
52,NARIÑO,52693,SAN PABLO,FRUTALES,FRESA,FRESA,FRESA,2007,2007,8,8,74,9.25,FRUTO FRESCO,PERMANENTE,FRAGARIA VESCA
25,CUNDINAMARCA,25718,SASAIMA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2010,2010A,4,4,80,20.0,HOJA FRESCA,TRANSITORIO,
5,ANTIOQUIA,5282,FREDONIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,10,10,20,2.0,HOJA FRESCA,PERMANENTE,
5,ANTIOQUIA,5656,SAN JERONIMO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,8,8,50,6.25,HOJA FRESCA,PERMANENTE,
15,BOYACA,15466,MONGUI,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,3,3,6,2.0,HOJA FRESCA,PERMANENTE,
15,BOYACA,15162,CERINZA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,1,1,11,18.0,HOJA FRESCA,PERMANENTE,
18,CAQUETA,18001,FLORENCIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,4,4,12,3.0,HOJA FRESCA,PERMANENTE,
19,CAUCA,19130,CAJIBIO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,42,42,672,16.0,HOJA FRESCA,PERMANENTE,
25,CUNDINAMARCA,25377,LA CALERA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,11,11,70,6.36,HOJA FRESCA,PERMANENTE,
25,CUNDINAMARCA,25799,TENJO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,10,10,50,5.26,HOJA FRESCA,PERMANENTE,
54,NORTE DE SANTANDER,54518,PAMPLONA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,4,3,15,5.0,HOJA FRESCA,PERMANENTE,
54,NORTE DE SANTANDER,54480,MUTISCUA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,1,1,1,1.0,HOJA FRESCA,PERMANENTE,
63,QUINDIO,63272,FILANDIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,2,2,6,4.0,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66001,PEREIRA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,99,99,1586,16.1,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66682,SANTA ROSA DE CABAL,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,60,60,211,3.5,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66440,MARSELLA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,44,44,131,3.0,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66170,DOS QUEBRADAS,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,20,20,460,23.0,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66400,LA VIRGINIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,1,1,4,3.8,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66045,APIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,1,1,3,6.0,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66383,LA CELIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011,0,0,5,15.0,HOJA FRESCA,PERMANENTE,
19,CAUCA,19548,PIENDAMO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011A,32,32,195,6.1,HOJA FRESCA,TRANSITORIO,
19,CAUCA,19743,SILVIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2011,2011A,14,14,318,22.7,HOJA FRESCA,TRANSITORIO,
5,ANTIOQUIA,5282,FREDONIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,10,10,25,2.5,HOJA FRESCA,PERMANENTE,
5,ANTIOQUIA,5856,VALPARAISO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,10,5,13,2.5,HOJA FRESCA,PERMANENTE,
5,ANTIOQUIA,5656,SAN JERONIMO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,8,8,52,6.5,HOJA FRESCA,PERMANENTE,
5,ANTIOQUIA,5347,HELICONIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,2,2,13,6.55,HOJA FRESCA,PERMANENTE,
8,ATLANTICO,8078,BARANOA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,12,12,48,4.0,HOJA FRESCA,PERMANENTE,
15,BOYACA,15491,NOBSA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,40,35,350,10.0,HOJA FRESCA,PERMANENTE,
15,BOYACA,15162,CERINZA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,3,3,48,16.0,HOJA FRESCA,PERMANENTE,
15,BOYACA,15466,MONGUI,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,3,3,6,2.0,HOJA FRESCA,PERMANENTE,
17,CALDAS,17042,ANSERMA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,5,5,20,4.0,HOJA FRESCA,PERMANENTE,
18,CAQUETA,18001,FLORENCIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,3,3,30,10.0,HOJA FRESCA,PERMANENTE,
25,CUNDINAMARCA,25799,TENJO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,180,180,810,4.5,HOJA FRESCA,PERMANENTE,
25,CUNDINAMARCA,25898,ZIPACON,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,44,34,408,12.0,HOJA FRESCA,PERMANENTE,
25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,27,24,96,4.0,HOJA FRESCA,PERMANENTE,
25,CUNDINAMARCA,25377,LA CALERA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,12,12,360,30.0,HOJA FRESCA,PERMANENTE,
25,CUNDINAMARCA,25797,TENA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,7,6,8,1.3,HOJA FRESCA,PERMANENTE,
54,NORTE DE SANTANDER,54518,PAMPLONA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,5,3,15,5.0,HOJA FRESCA,PERMANENTE,
63,QUINDIO,63272,FILANDIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,2,2,8,4.0,HOJA FRESCA,PERMANENTE,
63,QUINDIO,63594,QUIMBAYA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,1,1,6,9.0,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66001,PEREIRA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,99,77,1583,20.5,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66440,MARSELLA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,36,12,250,20.5,HOJA FRESCA,PERMANENTE,
66,RISARALDA,66170,DOS QUEBRADAS,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,20,9,105,11.67,HOJA FRESCA,PERMANENTE,
76,VALLE DEL CAUCA,76828,TRUJILLO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012,6,4,24,6.0,HOJA FRESCA,PERMANENTE,
19,CAUCA,19548,PIENDAMO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012A,16,16,96,6.0,HOJA FRESCA,TRANSITORIO,
19,CAUCA,19743,SILVIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012A,7,5,114,22.7,HOJA FRESCA,TRANSITORIO,
25,CUNDINAMARCA,25718,SASAIMA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012A,4,4,280,70.0,HOJA FRESCA,TRANSITORIO,
19,CAUCA,19548,PIENDAMO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012B,16,16,96,6.0,HOJA FRESCA,TRANSITORIO,
19,CAUCA,19743,SILVIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012B,7,5,114,22.7,HOJA FRESCA,TRANSITORIO,
25,CUNDINAMARCA,25718,SASAIMA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2012,2012B,4,4,280,70.0,HOJA FRESCA,TRANSITORIO,
5,ANTIOQUIA,5282,FREDONIA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2013,2013,10,10,25,2.5,HOJA FRESCA,PERMANENTE,
5,ANTIOQUIA,5656,SAN JERONIMO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2013,2013,8,8,52,6.5,HOJA FRESCA,PERMANENTE,
5,ANTIOQUIA,5856,VALPARAISO,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2013,2013,5,5,13,2.5,HOJA FRESCA,PERMANENTE,
15,BOYACA,15162,CERINZA,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2013,2013,3,3,36,12.0,HOJA FRESCA,PERMANENTE,
17,CALDAS,17001,MANIZALES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,FLORES Y FOLLAJES,2013,2013,13,13,46,3.5,HOJA FRESCA,PERMANENTE,
