c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,grupo_cultivo,subgrupo,cultivo,desagregaci_n_cultivo,a_o,periodo,rea_sembrada,rea_cosechada,producci_n,rendimiento,ciclo_del_cultivo,estado_f_sico_del_cultivo,c_digo_del_cultivo,nombre_cient_fico_del_cultivo
15,Boyacá,15820,Tópaga,Hortalizas,Hortalizas de fruto,Tomate,Tomate invernadero,2020,2020A,12.0,12.0,480.0,40.0,Transitorio,En fresco,1052902,Lycopersicon esculentum
15,Boyacá,15820,Tópaga,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa todas las variedades,2020,2020A,70.0,68.0,1244.4,18.3,Transitorio,En fresco,1080701,Solanum tuberosum
15,Boyacá,15820,Tópaga,Cereales,Cereales,Cebada,Cebada,2020,2020B,5.0,5.0,12.5,2.5,Transitorio,En fresco,1010300,Hordeum vulgare
15,Boyacá,15820,Tópaga,Cereales,Cereales,Maíz,Maíz tradicional,2020,2020B,28.0,27.0,42.56,1.58,Transitorio,En fresco,1010497,Zea mays
15,Boyacá,15820,Tópaga,Cereales,Cereales,Trigo,Trigo,2020,2020B,5.0,5.0,10.0,2.0,Transitorio,En fresco,1010800,Triticum aestivum
15,Boyacá,15820,Tópaga,Hortalizas,Hortalizas de raíz,Cebolla de bulbo,Cebolla de bulbo,2020,2020B,7.0,6.0,135.0,22.5,Transitorio,En fresco,1051100,Allium cepa
15,Boyacá,15820,Tópaga,Hortalizas,Hortalizas de fruto,Tomate,Tomate invernadero,2020,2020B,12.0,12.0,720.0,60.0,Transitorio,En fresco,1052902,Lycopersicon esculentum
15,Boyacá,15820,Tópaga,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa todas las variedades,2020,2020B,28.0,26.0,465.4,17.9,Transitorio,En fresco,1080701,Solanum tuberosum
15,Boyacá,15822,Tota,Frutales,Demás frutales,Fresa,Fresa,2020,2020,6.0,4.0,100.0,25.0,Permanente,En fresco,2042700,Fragaria vesca
15,Boyacá,15822,Tota,Hortalizas,Hortalizas de raíz,Cebolla de bulbo,Cebolla de bulbo,2020,2020A,5.0,4.0,68.0,17.0,Transitorio,En fresco,1051100,Allium cepa
15,Boyacá,15822,Tota,Hortalizas,Hortalizas de tallo,Cebolla de rama,Cebolla de rama,2020,2020A,95.0,90.0,1350.0,15.0,Transitorio,En fresco,1051200,Allium fistulosum
15,Boyacá,15822,Tota,Hortalizas,Hortalizas de raíz,Zanahoria,Zanahoria,2020,2020A,8.0,8.0,200.0,25.0,Transitorio,En fresco,1053000,Daucus carota
15,Boyacá,15822,Tota,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa todas las variedades,2020,2020A,350.0,300.0,6000.0,20.0,Transitorio,En fresco,1080701,Solanum tuberosum
